TOOL NAME,W/O,SIZE & THREAD,MATERIAL,MODEL,MATERIAL NO,PART NUMBER,QUANTITY,LOCATION
MECH SET SLIP,WO24-001-P036-007,"9-5/8""",L80,PFT,N/A,702T100001003/#3-REV-A,1,W/EXT
MECH SET SLIP,WO24-001-P036-006,"9-5/8""",L80,PFT,N/A,702T100001003/#3-REV-A,1,W/EXT
MECH SET SLIP,WO24-001-P036-003,"9-5/8""",L80,PFT,N/A,702T100001003/#1-REV-A,1,W/EXT
MECH SET SLIP,WO24-001-P036-002,"9-5/8""",L80,PFT,N/A,702T100001003/#8-REV-A,1,W/EXT
MECH SET SLIP,WO24-001-P036-009,"9-5/8""",L80,PFT,N/A,702T100001003/#2-REV-A,1,W/EXT
MECH SET SLIP,WO24-001-P060-001,"7"" ",L80,PFT,N/A,702T100001002/#4-REV-A,1,W/EXT
WL SET SLIP,WO25-003-P02-010,"7"" ",L80,PFT,N/A,707P100001002-REV-A,1,W/EXT
WL SET SLIP,WO25-003-P02-008,"7"" ",L80,PFT,N/A,707P100001002-REV-A,1,W/EXT
WL SET SLIP,WO25-003-P02-005,"7"" ",L80,PFT,N/A,707P100001002-REV-A,1,W/EXT
WL SET SLIP,WO25-003-P02-003,"7"" ",L80,PFT,N/A,707P100001002-REV-A,1,W/EXT
WL SET SLIP,WO25-003-P02-002,"7"" ",L80,PFT,N/A,707P100001002-REV-A,1,W/EXT
WL SET SLIP,WO25-003-P02-001,"7"" ",L80,PFT,N/A,707P100001002-REV-A,1,W/EXT
WL SET SLIP,WO25-003-P02-007,"7"" ",L80,PFT,N/A,707P100001002-REV-A,1,W/EXT
WL SET SLIP,WO25-003-P02-004,"7"" ",L80,PFT,N/A,707P100001002-REV-A,1,W/EXT
WL SET SLIP,WO25-003-P02-006,"7"" ",L80,PFT,N/A,707P100001002-REV-A,1,W/EXT
WL SET SLIP,WO25-003-P02-009,"7"" ",L80,PFT,N/A,707P100001002-REV-A,1,W/EXT
WL SET SLIP,WO25-003-P30-004,"9-5\8"" ",L80,PFT,N/A,702T100001015-REV-A,1,W/EXT
WL SET SLIP,WO25-003-P30-015,"9-5\8"" ",L80,PFT,N/A,702T100001015-REV-A,1,W/EXT
WL SET SLIP,WO25-003-P30-007,"9-5\8"" ",L80,PFT,N/A,702T100001015-REV-A,1,W/EXT
WL SET SLIP,WO25-003-P30-003,"9-5\8"" ",L80,PFT,N/A,702T100001015-REV-A,1,W/EXT
